date,vwretd
2010-06-16,-0.001219
2010-06-17,0.000896
2010-06-18,0.00171
2010-06-21,-0.004309
2010-06-22,-0.016156
2010-06-23,-0.002917
2010-06-24,-0.016272
2010-06-25,0.00606
2010-06-28,-0.003129
2010-06-29,-0.032886
2010-06-30,-0.008948
2010-07-01,-0.00393
2010-07-02,-0.004749
2010-07-06,0.003316
2010-07-07,0.030891
2010-07-08,0.009561
2010-07-09,0.008916
2010-07-12,-0.00135
2010-07-13,0.017213
2010-07-14,-0.000642
2010-07-15,0.000415
2010-07-16,-0.028543
2010-07-19,0.004999
2010-07-20,0.012639
2010-07-21,-0.012835
2010-07-22,0.023576
2010-07-23,0.009631
2010-07-26,0.011615
2010-07-27,-0.00254
2010-07-28,-0.007459
2010-07-29,-0.002589
2010-07-30,0.001513
2010-08-02,0.020555
2010-08-03,-0.005157
2010-08-04,0.007461
2010-08-05,-0.002496
2010-08-06,-0.003549
2010-08-09,0.005856
2010-08-10,-0.007992
2010-08-11,-0.02923
2010-08-12,-0.004674
2010-08-13,-0.003874
2010-08-16,0.001455
2010-08-17,0.013886
2010-08-18,0.00233
2010-08-19,-0.016704
2010-08-20,-0.003305
2010-08-23,-0.004861
2010-08-24,-0.014445
2010-08-25,0.004577
2010-08-26,-0.006625
2010-08-27,0.018433
2010-08-30,-0.014218
2010-08-31,0.000119
2010-09-01,0.029106
2010-09-02,0.009547
2010-09-03,0.01298
2010-09-07,-0.011863
2010-09-08,0.00633
2010-09-09,0.003763
2010-09-10,0.004477
2010-09-13,0.012869
2010-09-14,-0.000108
2010-09-15,0.002952
2010-09-16,-0.00075
2010-09-17,0.001128
2010-09-20,0.015179
2010-09-21,-0.003097
2010-09-22,-0.005023
2010-09-23,-0.008117
2010-09-24,0.021202
2010-09-27,-0.004459
2010-09-28,0.005787
2010-09-29,-0.001083
2010-09-30,-0.001975
2010-10-01,0.004939
2010-10-04,-0.008293
2010-10-05,0.020563
2010-10-06,-0.000333
2010-10-07,-0.002121
2010-10-08,0.007621
2010-10-11,0.000566
2010-10-12,0.003647
2010-10-13,0.008784
2010-10-14,-0.003666
2010-10-15,0.000702
2010-10-18,0.006296
2010-10-19,-0.01721
2010-10-20,0.011274
2010-10-21,0.000265
2010-10-22,0.002654
2010-10-25,0.003724
2010-10-26,-0.000427
2010-10-27,-0.003317
2010-10-28,0.001141
2010-10-29,0.001662
2010-11-01,0.000145
2010-11-02,0.009053
2010-11-03,0.003439
2010-11-04,0.019913
2010-11-05,0.004019
2010-11-08,-0.00091
2010-11-09,-0.008463
2010-11-10,0.005389
2010-11-11,-0.003605
2010-11-12,-0.013391
2010-11-15,-0.00133
2010-11-16,-0.01685
2010-11-17,0.001622
2010-11-18,0.015558
2010-11-19,0.003742
2010-11-22,-0.000273
2010-11-23,-0.014121
2010-11-24,0.015679
2010-11-26,-0.006877
2010-11-29,-0.000917
2010-11-30,-0.005788
2010-12-01,0.020817
2010-12-02,0.012228
2010-12-03,0.003962
2010-12-06,2.5e-05
2010-12-07,0.000191
2010-12-08,0.001544
2010-12-09,0.003574
2010-12-10,0.006422
2010-12-13,0.000182
2010-12-14,0.000271
2010-12-15,-0.005256
2010-12-16,0.005846
2010-12-17,0.001571
2010-12-20,0.001818
2010-12-21,0.007205
2010-12-22,0.003135
2010-12-23,-0.001198
2010-12-27,0.000668
2010-12-28,0.000786
2010-12-29,0.002732
2010-12-30,-0.000803
2010-12-31,-0.000232
2011-01-03,0.011212
2011-01-04,-0.003895
2011-01-05,0.005382
2011-01-06,-0.002515
2011-01-07,-0.001949
2011-01-10,-0.000709
2011-01-11,0.005048
2011-01-12,0.009014
2011-01-13,-0.001889
2011-01-14,0.00663
2011-01-18,0.002176
2011-01-19,-0.01225
2011-01-20,-0.003837
2011-01-21,0.001261
2011-01-24,0.006289
2011-01-25,-0.000428
2011-01-26,0.007332
2011-01-27,0.002133
2011-01-28,-0.017202
2011-01-31,0.007617
2011-02-01,0.017025
2011-02-02,-0.002229
2011-02-03,0.002924
2011-02-04,0.002176
2011-02-07,0.006123
2011-02-08,0.004549
2011-02-09,-0.003443
2011-02-10,0.001336
2011-02-11,0.006111
2011-02-14,0.003401
2011-02-15,-0.003182
2011-02-16,0.007533
2011-02-17,0.003947
2011-02-18,0.001222
2011-02-22,-0.02106
2011-02-23,-0.006562
2011-02-24,-0.000133
2011-02-25,0.012937
2011-02-28,0.005329
2011-03-01,-0.014899
2011-03-02,0.002852
2011-03-03,0.016096
2011-03-04,-0.005901
2011-03-07,-0.009407
2011-03-08,0.00808
2011-03-09,-0.002434
2011-03-10,-0.019788
2011-03-11,0.006951
2011-03-14,-0.005489
2011-03-15,-0.011151
2011-03-16,-0.016642
2011-03-17,0.012213
2011-03-18,0.00486
2011-03-21,0.01644
2011-03-22,-0.003234
2011-03-23,0.002876
2011-03-24,0.008544
2011-03-25,0.003113
2011-03-28,-0.003335
2011-03-29,0.00716
2011-03-30,0.008218
2011-03-31,-0.000593
2011-04-01,0.005433
2011-04-04,0.00116
2011-04-05,0.001326
2011-04-06,0.001737
2011-04-07,-0.002252
2011-04-08,-0.003389
2011-04-11,-0.004734
2011-04-12,-0.009253
2011-04-13,0.001298
2011-04-14,0.000539
2011-04-15,0.003973
2011-04-18,-0.011622
2011-04-19,0.005708
2011-04-20,0.014273
2011-04-21,0.005889
2011-04-25,-0.001856
2011-04-26,0.008145
2011-04-27,0.00615
2011-04-28,0.002931
2011-04-29,0.003119
2011-05-02,-0.003556
2011-05-03,-0.006647
2011-05-04,-0.007976
2011-05-05,-0.009455
2011-05-06,0.004607
2011-05-09,0.006152
2011-05-10,0.008462
2011-05-11,-0.012229
2011-05-12,0.00404
2011-05-13,-0.008906
2011-05-16,-0.006959
2011-05-17,-0.000647
2011-05-18,0.010749
2011-05-19,0.002334
2011-05-20,-0.006774
2011-05-23,-0.013016
2011-05-24,-0.000403
2011-05-25,0.005078
2011-05-26,0.005337
2011-05-27,0.00511
2011-05-31,0.010293
2011-06-01,-0.023082
2011-06-02,-0.000631
2011-06-03,-0.009298
2011-06-06,-0.012456
2011-06-07,0.000287
2011-06-08,-0.005975
2011-06-09,0.007456
2011-06-10,-0.014079
2011-06-13,-0.000908
2011-06-14,0.013866
2011-06-15,-0.017302
2011-06-16,-0.000117
2011-06-17,0.002157
2011-06-20,0.005343
2011-06-21,0.015899
2011-06-22,-0.005482
2011-06-23,-0.00259
2011-06-24,-0.010575
2011-06-27,0.00807
2011-06-28,0.013694
2011-06-29,0.008738
2011-06-30,0.009702
2011-07-01,0.013475
2011-07-05,-2.4e-05
2011-07-06,0.001143
2011-07-07,0.010635
2011-07-08,-0.006343
2011-07-11,-0.019357
2011-07-12,-0.003812
2011-07-13,0.005006
2011-07-14,-0.008051
2011-07-15,0.00617
2011-07-18,-0.00949
2011-07-19,0.016167
2011-07-20,5.9e-05
2011-07-21,0.012262
2011-07-22,0.001437
2011-07-25,-0.006279
2011-07-26,-0.00454
2011-07-27,-0.02165
2011-07-28,-0.002935
2011-07-29,-0.005607
2011-08-01,-0.003619
2011-08-02,-0.025672
2011-08-03,0.004954
2011-08-04,-0.050378
2011-08-05,-0.004794
2011-08-08,-0.068712
2011-08-09,0.051244
2011-08-10,-0.038591
2011-08-11,0.045274
2011-08-12,0.004753
2011-08-15,0.022835
2011-08-16,-0.010898
2011-08-17,0.000841
2011-08-18,-0.04534
2011-08-19,-0.015359
2011-08-22,4e-05
2011-08-23,0.033764
2011-08-24,0.011574
2011-08-25,-0.015902
2011-08-26,0.01643
2011-08-29,0.029636
2011-08-30,0.003763
2011-08-31,0.005093
2011-09-01,-0.012131
2011-09-02,-0.024645
2011-09-06,-0.008152
2011-09-07,0.029164
2011-09-08,-0.010889
2011-09-09,-0.026597
2011-09-12,0.004134
2011-09-13,0.010804
2011-09-14,0.012798
2011-09-15,0.01548
2011-09-16,0.003557
2011-09-19,-0.010951
2011-09-20,-0.004116
2011-09-21,-0.029444
2011-09-22,-0.034428
2011-09-23,0.005755
2011-09-26,0.021598
2011-09-27,0.012849
2011-09-28,-0.023703
2011-09-29,0.008235
2011-09-30,-0.024641
2011-10-03,-0.031922
2011-10-04,0.023667
2011-10-05,0.019662
2011-10-06,0.020566
2011-10-07,-0.010947
2011-10-10,0.034277
2011-10-11,0.001058
2011-10-12,0.01182
2011-10-13,-0.002954
2011-10-14,0.017735
2011-10-17,-0.020861
2011-10-18,0.020792
2011-10-19,-0.014172
2011-10-20,0.003898
2011-10-21,0.019264
2011-10-24,0.016798
2011-10-25,-0.019838
2011-10-26,0.01152
2011-10-27,0.036253
2011-10-28,0.000259
2011-10-31,-0.024655
2011-11-01,-0.028627
2011-11-02,0.017082
2011-11-03,0.019202
2011-11-04,-0.00557
2011-11-07,0.0049
2011-11-08,0.011216
2011-11-09,-0.037861
2011-11-10,0.007432
2011-11-11,0.019762
2011-11-14,-0.009371
2011-11-15,0.004531
2011-11-16,-0.0151
2011-11-17,-0.017213
2011-11-18,-0.000287
2011-11-21,-0.018665
2011-11-22,-0.003943
2011-11-23,-0.023246
2011-11-25,-0.003625
2011-11-28,0.030531
2011-11-29,0.002261
